video_id,embedding,collection,party,type,x,y,projection_Democrat_Republican
7.395603213086379e+18,"[ 0.04790584 -0.01491282 -0.02001517 ... -0.01978488 -0.0273573
 -0.0031409 ]",persona,Republican,video,-0.19294676,-0.11958354,0.07009779
7.395319094108638e+18,"[ 0.03611961 -0.02348249 -0.02627075 ... -0.01568785 -0.04134402
 -0.0099048 ]",persona,Republican,video,-0.09423856,-0.074225135,0.13644107
7.395287049613413e+18,"[ 0.03661755 -0.00227982 -0.03468354 ... -0.02159193 -0.029759
  0.00717357]",persona,Republican,video,-0.17679629,-0.17297749,0.068440855
7.394454266863177e+18,"[ 0.03310491 -0.00807047 -0.03620947 ... -0.01153745 -0.05779536
 -0.00041584]",persona,Republican,video,-0.1815959,-0.13813221,0.07815354
7.377399666331373e+18,"[ 0.01382251 -0.02130047 -0.01458588 ... -0.01627667 -0.01430279
  0.02754591]",persona,Republican,video,-0.10436223,-0.072243914,0.07994692
7.37639836834546e+18,"[ 0.04073468 -0.03078697 -0.01193799 ... -0.01412136 -0.06073057
  0.0036049 ]",persona,Republican,video,-0.18071069,-0.05371605,0.02738431
7.374567419429293e+18,"[ 0.0427691   0.00526724 -0.00971024 ... -0.01487646 -0.03949016
  0.01215427]",persona,Republican,video,-0.13001624,-0.028973825,0.026133934
7.373846437882351e+18,"[ 0.03453183 -0.00343032 -0.02566049 ...  0.00418004 -0.03982572
  0.01218574]",persona,Republican,video,-0.15907872,-0.076498635,-0.0041885395
7.35896636308962e+18,"[ 0.06764407  0.00803058 -0.03564219 ... -0.01225165 -0.04163259
  0.01197748]",persona,Republican,video,-0.14815141,-0.02987801,0.0023902953
7.358521614528417e+18,"[ 0.04019441 -0.00392672 -0.03326796 ... -0.01345675 -0.03809858
  0.00662734]",persona,Republican,video,-0.12327541,-0.074418016,0.04151728
7.358512597294992e+18,"[ 0.03501687 -0.00843714 -0.00074923 ... -0.02848486 -0.03914123
 -0.01729901]",persona,Republican,video,-0.12361602,-0.041689884,0.012730937
7.357563142508924e+18,"[ 0.00588228 -0.00984024 -0.01411899 ... -0.00472005 -0.05126164
 -0.02147545]",persona,Republican,video,-0.13846321,-0.020771138,0.029273432
7.357539824468889e+18,"[ 0.02373555  0.00266254 -0.02138266 ...  0.01962966 -0.05947411
 -0.01246517]",persona,Republican,video,-0.12950325,-0.0273256,0.03785141
7.35714071591625e+18,"[ 0.039997   -0.02077486 -0.03062599 ...  0.00447603 -0.05229234
  0.00549102]",persona,Republican,video,-0.15392399,-0.061165363,0.033281278
7.356347621415325e+18,"[ 0.02652342 -0.02432455 -0.01262375 ...  0.00401634 -0.00799778
  0.01083227]",persona,Republican,video,-0.12520815,-0.02838656,0.01682631
7.356024819424464e+18,"[ 0.02006607 -0.00797729 -0.01890375 ... -0.02348698 -0.06369802
  0.0133193 ]",persona,Republican,video,-0.15390117,0.004112003,-0.046167463
7.395082571572383e+18,"[ 0.03657123 -0.01429626 -0.03050718 ... -0.00833474 -0.02209408
 -0.00348669]",persona,Republican,video,-0.15910761,-0.06927576,0.024009123
7.395180828277624e+18,"[ 0.04819694 -0.01888712 -0.0137153  ... -0.0030292  -0.0610441
 -0.00488001]",persona,Democrat,video,-0.17531201,-0.045632403,0.021173354
7.359036067267399e+18,"[ 0.02796314 -0.00506242 -0.05776474 ... -0.01669606 -0.04510446
 -0.01670586]",persona,Republican,video,-0.17121868,-0.0074011167,-0.010546562
7.35921497191965e+18,"[ 0.05113979  0.02356519 -0.01721505 ... -0.01806744 -0.01893272
  0.00041613]",persona,Republican,video,-0.13892296,-0.02168968,0.00926817
